Critic_Count,Critic_Score,Developer,EU_Sales,Genre,Global_Sales,JP_Sales,NA_Sales,Name,Other_Sales,Publisher,Rating,User_Count,User_Score,Year_of_Release,Nominal_Critic_Score,Nominal_User_Score,Nominal_NA_Sales,Nominal_JP_Sales,Nominal_EU_Sales,Nominal_Other_Sales,Nominal_Global_Sales
51,7.6,Nintendo,28960000.0,Sports,82530000.0,3770000.0,41360000.0,Wii Sports,8450000.0,Nintendo,E,322,8.0,2006,Medium,Medium,Top,7c,Top,Top,Top
0,8.01689189189189,Nintendo,4880000.0,Platform,45310000.0,6960000.0,32480000.0,Super Mario Bros.,990000.0,Nintendo,E,0,7.977027027027025,1985,Medium,Medium,Top,Top,9,1,Top
73,8.2,Nintendo,12760000.0,Racing,35520000.0,3790000.0,15680000.0,Mario Kart Wii,3290000.0,Nintendo,E,709,8.3,2008,Medium,Medium,Top,7c,Top,Top,Top
73,8.0,Nintendo,10930000.0,Sports,32770000.000000004,3280000.0,15610000.0,Wii Sports Resort,2950000.0,Nintendo,E,192,8.0,2009,Medium,Medium,Top,6c,Top,Top,Top
0,8.01689189189189,Nintendo,8890000.0,Role-Playing,31370000.0,10220000.0,11270000.0,Pokemon Red/Pokemon Blue,1000000.0,Nintendo,E,0,7.977027027027025,1996,Medium,Medium,Top,Top,17,1,Top
0,8.01689189189189,Nintendo,2949999.9999999995,Puzzle,35840000.0,6029999.999999999,26170000.0,Tetris,690000.0,Nintendo,E,0,7.977027027027025,1989,Medium,Medium,Top,Top,5,1,Top
65,8.9,Nintendo,9140000.0,Platform,29800000.0,6500000.0,11280000.0,New Super Mario Bros.,2880000.0,Nintendo,E,431,8.5,2006,High,Medium,Top,Top,18,Top,Top
41,5.8,Nintendo,9180000.0,Misc,28920000.0,2930000.0,13960000.0,Wii Play,2840000.0,Nintendo,E,129,6.6,2006,Low,Medium,Top,5c,18,Top,Top
80,8.7,Nintendo,6940000.0,Platform,28320000.0,4700000.0,14440000.0,New Super Mario Bros. Wii,2240000.0,Nintendo,E,594,8.4,2009,High,Medium,Top,9c,13,4,Top
0,8.01689189189189,Nintendo,630000.0,Shooter,28310000.0,280000.0,26930000.0,Duck Hunt,470000.0,Nintendo,E,0,7.977027027027025,1984,Medium,Medium,Top,0c,1,0,Top
0,8.01689189189189,Nintendo,10950000.0,Simulation,24670000.0,1930000.0,9050000.0,Nintendogs,2740000.0,Nintendo,E,0,7.977027027027025,2005,Medium,Medium,18,3c,Top,Top,Top
64,9.1,Nintendo,7470000.0,Racing,23210000.0,4130000.0,9710000.0,Mario Kart DS,1900000.0,Nintendo,E,464,8.6,2005,High,High,19,8c,14,3,Top
0,8.01689189189189,Nintendo,6180000.0,Role-Playing,23100000.0,7200000.0,9000000.0,Pokemon Gold/Pokemon Silver,710000.0,Nintendo,E,0,7.977027027027025,1999,Medium,Medium,17,Top,12,1,Top
63,8.0,Nintendo,8029999.999999999,Sports,22700000.0,3600000.0,8920000.0,Wii Fit,2150000.0,Nintendo,E,146,7.7,2007,Medium,Medium,17,7c,16,4,Top
45,6.1,Good Science Studio,4890000.0,Misc,21810000.0,240000.0,15000000.0,Kinect Adventures!,1690000.0,Microsoft Game Studios,E,106,6.3,2010,Medium,Medium,Top,0c,9,3,Top
33,8.0,Nintendo,8490000.0,Sports,21790000.0,2530000.0,9010000.0,Wii Fit Plus,1770000.0,Nintendo,E,52,7.4,2009,Medium,Medium,18,5c,16,3,Top
245,9.68,Rockstar North,23420000.0,Action,56570000.00000001,1420000.0,23840000.0,Grand Theft Auto V,7899999.999999999,Take-Two Interactive,M,15124,8.08,2013,High,Medium,Top,2c,Top,Top,Top
