Critic_Count,Critic_Score,Developer,EU_Sales,Genre,Global_Sales,JP_Sales,NA_Sales,Name,Other_Sales,Platform,Publisher,Rating,User_Count,User_Score,Year_of_Release
51.0,7.6,Nintendo,28.96,Sports,82.53,3.77,41.36,Wii Sports,8.45,Wii,Nintendo,E,322.0,8.0,2006.0
0.0,0.0,Nintendo,4.88,Platform,45.31,6.96,32.48,Super Mario Bros.,0.99,NES,Nintendo,E,0.0,0.0,1985.0
73.0,8.2,Nintendo,12.76,Racing,35.52,3.79,15.68,Mario Kart Wii,3.29,Wii,Nintendo,E,709.0,8.3,2008.0
73.0,8.0,Nintendo,10.93,Sports,32.77,3.28,15.61,Wii Sports Resort,2.95,Wii,Nintendo,E,192.0,8.0,2009.0
0.0,0.0,Nintendo,8.89,Role-Playing,31.37,10.22,11.27,Pokemon Red/Pokemon Blue,1.0,GB,Nintendo,E,0.0,0.0,1996.0
0.0,0.0,Nintendo,2.9499999999999997,Puzzle,35.84,6.029999999999999,26.169999999999998,Tetris,0.69,GB,Nintendo,E,0.0,0.0,1989.0
65.0,8.9,Nintendo,9.14,Platform,29.8,6.5,11.28,New Super Mario Bros.,2.88,DS,Nintendo,E,431.0,8.5,2006.0
41.0,5.8,Nintendo,9.18,Misc,28.92,2.93,13.96,Wii Play,2.84,Wii,Nintendo,E,129.0,6.6,2006.0
80.0,8.7,Nintendo,6.94,Platform,28.32,4.7,14.44,New Super Mario Bros. Wii,2.24,Wii,Nintendo,E,594.0,8.4,2009.0
0.0,0.0,Nintendo,0.63,Shooter,28.31,0.28,26.93,Duck Hunt,0.47,NES,Nintendo,E,0.0,0.0,1984.0
0.0,0.0,Nintendo,10.95,Simulation,24.67,1.93,9.05,Nintendogs,2.74,DS,Nintendo,E,0.0,0.0,2005.0
64.0,9.1,Nintendo,7.47,Racing,23.21,4.13,9.71,Mario Kart DS,1.9,DS,Nintendo,E,464.0,8.6,2005.0
0.0,0.0,Nintendo,6.18,Role-Playing,23.1,7.2,9.0,Pokemon Gold/Pokemon Silver,0.71,GB,Nintendo,E,0.0,0.0,1999.0
63.0,8.0,Nintendo,8.03,Sports,22.7,3.6,8.92,Wii Fit,2.15,Wii,Nintendo,E,146.0,7.7,2007.0
45.0,6.1,Good Science Studio,4.89,Misc,21.81,0.24,15.0,Kinect Adventures!,1.69,X360,Microsoft Game Studios,E,106.0,6.3,2010.0
33.0,8.0,Nintendo,8.49,Sports,21.79,2.53,9.01,Wii Fit Plus,1.77,Wii,Nintendo,E,52.0,7.4,2009.0
245.0,9.68,Rockstar North,23.42,Action,56.57000000000001,1.42,23.84,Grand Theft Auto V,7.8999999999999995,PS3,Take-Two Interactive,M,15124.0,8.08,2013.0
185.0,9.366666666666667,Rockstar North,1.96,Action,23.839999999999996,0.41,10.77,Grand Theft Auto: San Andreas,10.709999999999999,PS2,Take-Two Interactive,M,3593.0,8.5,2004.0
0.0,0.0,Nintendo,4.86,Platform,26.07,4.49,15.989999999999998,Super Mario World,0.75,SNES,Nintendo,E,0.0,0.0,1990.0
58.0,7.7,Nintendo,9.2,Misc,20.15,4.16,4.74,Brain Age: Train Your Brain in Minutes a Day,2.04,DS,Nintendo,E,50.0,7.9,2005.0
0.0,0.0,Nintendo,4.46,Role-Playing,18.25,6.04,6.38,Pokemon Diamond/Pokemon Pearl,1.36,DS,Nintendo,E,0.0,0.0,2006.0
0.0,0.0,Nintendo,2.71,Platform,18.14,4.18,10.83,Super Mario Land,0.42,GB,Nintendo,E,0.0,0.0,1989.0
0.0,0.0,Nintendo,4.6899999999999995,Platform,22.48,4.67,12.469999999999999,Super Mario Bros. 3,0.66,NES,Nintendo,E,0.0,0.0,1988.0
92.0,9.45,Rockstar North,5.5200000000000005,Action,16.189999999999998,0.47,8.41,Grand Theft Auto: Vice City,1.79,PS2,Take-Two Interactive,M,2250.0,8.75,2002.0
0.0,0.0,Nintendo,3.9,Role-Playing,15.85,5.38,6.06,Pokemon Ruby/Pokemon Sapphire,0.5,GBA,Nintendo,E,0.0,0.0,2002.0
37.0,7.7,Nintendo,5.35,Puzzle,15.29,5.32,3.43,Brain Age 2: More Training in Minutes a Day,1.18,DS,Nintendo,E,19.0,7.1,2005.0
0.0,0.0,Nintendo,3.17,Role-Playing,15.14,5.65,5.51,Pokemon Black/Pokemon White,0.8,DS,Nintendo,E,0.0,0.0,2010.0
54.0,9.5,Polyphony Digital,5.09,Racing,14.98,1.87,6.85,Gran Turismo 3: A-Spec,1.16,PS2,Sony Computer Entertainment,E,314.0,8.4,2001.0
162.0,8.100000000000001,"Infinity Ward, Sledgehammer Games",11.15,Shooter,30.59,0.62,15.54,Call of Duty: Modern Warfare 3,3.29,X360,Activision,M,20053.0,2.725,2011.0
0.0,0.0,Nintendo,5.04,Role-Playing,14.64,3.12,5.89,Pokémon Yellow: Special Pikachu Edition,0.59,GB,Nintendo,E,0.0,0.0,1998.0
0.0,0.0,Activision,9.49,Shooter,25.680000000000003,0.44,12.250000000000002,Call of Duty: Black Ops 3,3.49,PS4,Activision,T,0.0,0.0,2015.0
214.0,8.2,Treyarch,9.35,Shooter,30.82,0.59,17.57,Call of Duty: Black Ops,3.31,X360,Activision,M,4340.0,5.9399999999999995,2010.0
0.0,0.0,Nintendo,4.19,Role-Playing,14.6,4.35,5.28,Pokemon X/Pokemon Y,0.78,3DS,Nintendo,E,0.0,0.0,2013.0
136.0,8.025,Treyarch,10.84,Shooter,29.400000000000002,0.72,14.08,Call of Duty: Black Ops II,3.76,PS3,Activision,M,5041.0,5.300000000000001,2012.0
207.0,9.133333333333333,Infinity Ward,8.02,Shooter,24.95,0.46,13.52,Call of Duty: Modern Warfare 2,2.9699999999999998,X360,Activision,M,11201.0,5.6000000000000005,2009.0
76.0,9.5,DMA Design,4.52,Action,13.11,0.3,6.99,Grand Theft Auto III,1.3,PS2,Take-Two Interactive,M,1469.0,8.45,2001.0
81.0,9.3,Game Arts,2.55,Fighting,12.84,2.66,6.62,Super Smash Bros. Brawl,1.01,Wii,Nintendo,T,1662.0,8.9,2008.0
73.0,8.5,"Retro Studios, Entertainment Analysis & Development Division",4.02,Racing,12.66,2.69,5.03,Mario Kart 7,0.91,3DS,Nintendo,E,632.0,8.2,2011.0
57.0,8.6,Nintendo,3.45,Simulation,12.13,5.33,2.5,Animal Crossing: Wild World,0.86,DS,Nintendo,E,242.0,8.7,2005.0
86.0,9.4,"Bungie Software, Bungie",2.81,Shooter,12.12,0.13,7.97,Halo 3,1.21,X360,Microsoft Game Studios,M,4100.0,7.8,2007.0
0.0,0.0,Nintendo,5.92,Platform,22.19,3.16,11.92,Super Mario 64,1.2,N64,Nintendo,E,0.0,0.0,1996.0
0.0,0.0,Nintendo,2.71,Action,11.77,3.96,4.34,Pokemon HeartGold/Pokemon SoulSilver,0.76,DS,Nintendo,E,0.0,0.0,2009.0
0.0,0.0,Nintendo,3.49,Role-Playing,11.68,3.1,4.35,Pokemon Omega Ruby/Pokemon Alpha Sapphire,0.74,3DS,Nintendo,E,0.0,0.0,2014.0
74.0,8.9,Polyphony Digital,0.01,Racing,11.66,1.1,3.01,Gran Turismo 4,7.53,PS2,Sony Computer Entertainment,E,272.0,8.5,2004.0
73.0,9.7,Nintendo,3.35,Platform,11.35,1.2,6.06,Super Mario Galaxy,0.74,Wii,Nintendo,E,2147.0,8.9,2007.0
0.0,0.0,Nintendo,2.04,Adventure,11.18,2.69,6.16,Super Mario Land 2: 6 Golden Coins,0.29,GB,Nintendo,E,0.0,0.0,1992.0
190.0,9.533333333333333,Rockstar North,7.55,Action,22.389999999999997,0.5800000000000001,11.53,Grand Theft Auto IV,2.71,X360,Take-Two Interactive,M,8083.0,7.333333333333333,2008.0
16.0,9.6,Polyphony Digital,3.87,Racing,10.95,2.54,4.02,Gran Turismo,0.52,PS,Sony Computer Entertainment,E,138.0,8.7,1997.0
82.0,9.0,Nintendo,3.0,Platform,10.81,2.14,4.89,Super Mario 3D Land,0.78,3DS,Nintendo,E,921.0,8.4,2011.0
82.0,8.4,Polyphony Digital,4.82,Racing,10.7,0.81,2.96,Gran Turismo 5,2.11,PS3,Sony Computer Entertainment,E,1112.0,7.5,2010.0
0.0,0.0,Nintendo,2.15,Platform,10.55,2.12,5.99,Super Mario All-Stars,0.29,SNES,Nintendo,E,0.0,0.0,1993.0
0.0,0.0,Nintendo,2.65,Role-Playing,10.49,3.15,4.34,Pokemon FireRed/Pokemon LeafGreen,0.35,GBA,Nintendo,E,0.0,0.0,2004.0
101.0,7.38,Infinity Ward,8.889999999999999,Shooter,27.4,0.48,14.94,Call of Duty: Ghosts,3.0799999999999996,X360,Activision,M,5684.0,3.3199999999999994,2013.0
54.0,7.3,Ubisoft,3.7,Misc,12.759999999999998,0.0,7.75,Just Dance 3,1.31,Wii,Ubisoft,E10+,40.0,7.166666666666667,2011.0
70.0,7.8,Nintendo,3.14,Platform,9.9,2.47,3.66,New Super Mario Bros. 2,0.63,3DS,Nintendo,E,424.0,7.2,2012.0
0.0,0.0,Nintendo,1.94,Racing,9.87,2.23,5.55,Mario Kart 64,0.15,N64,Nintendo,E,0.0,0.0,1996.0
99.0,9.1,Bungie,1.95,Shooter,9.86,0.08,7.04,Halo: Reach,0.79,X360,Microsoft Game Studios,M,2045.0,7.9,2010.0
20.0,9.2,SquareSoft,2.47,Role-Playing,9.72,3.28,3.01,Final Fantasy VII,0.96,PS,Sony Computer Entertainment,T,1282.0,9.2,1997.0
87.0,8.7,343 Industries,2.28,Shooter,9.71,0.04,6.65,Halo 4,0.74,X360,Microsoft Game Studios,M,3260.0,7.0,2012.0
23.0,9.3,Polyphony Digital,3.42,Racing,9.49,1.69,3.88,Gran Turismo 2,0.5,PS,Sony Computer Entertainment,T,135.0,9.0,1999.0
24.0,7.4,Ubisoft,2.85,Misc,9.44,0.01,5.8,Just Dance 2,0.78,Wii,Ubisoft,E10+,24.0,7.3,2010.0
176.0,8.875,Infinity Ward,5.749999999999999,Shooter,18.19,0.42000000000000004,9.989999999999998,Call of Duty 4: Modern Warfare,2.04,X360,Activision,M,4709.0,8.05,2007.0
26.0,7.8,Nintendo,2.9099999999999997,Platform,13.530000000000001,3.59,6.6000000000000005,Donkey Kong Country,0.43,SNES,Nintendo,E,53.0,8.9,1994.0
0.0,0.0,Microsoft Game Studios,8.75,Misc,24.159999999999997,1.24,11.28,Minecraft,2.8900000000000006,X360,Microsoft Game Studios,E,0.0,0.0,2013.0
70.0,8.8,Nintendo,2.36,Simulation,9.16,4.39,2.03,Animal Crossing: New Leaf,0.39,3DS,Nintendo,E,626.0,8.7,2012.0
27.0,7.2,Hudson Soft,1.85,Misc,8.91,1.98,4.4,Mario Party DS,0.68,DS,Nintendo,E,85.0,7.8,2007.0
