Critic_Count,Critic_Score,Developer,EU_Sales,Genre,Global_Sales,JP_Sales,NA_Sales,Name,Number_of_Records,Other_Sales,Publisher,Rating,User_Count,User_Score,Year_of_Release
51,7.6,Nintendo,28706K,Sports,82530000,3556K,40843K,Wii Sports,1,8344K,Nintendo,E,322,8,2006
0,0,Nintendo,4416K,Platform,45310000,6667K,32091K,Super Mario Bros.,1,982K,Nintendo,E,0,0,1985
73,8.2,Nintendo,12145K,Racing,35520000,3556K,14587K,Mario Kart Wii,1,2945K,Nintendo,E,709,8.3,2008
73,8,Nintendo,9937K,Sports,32770000,3111K,14587K,Wii Sports Resort,1,2945K,Nintendo,E,192,8,2009
0,0,Nintendo,8832K,Role-Playing,31370000,9778K,10211K,Pokemon Red/Pokemon Blue,1,982K,Nintendo,E,0,0,1996
0,0,Nintendo,2208K,Puzzle,35840000,5778K,24798K,Tetris,1,491K,Nintendo,E,0,0,1989
65,8.9,Nintendo,8832K,Platform,29800000,6223K,10211K,New Super Mario Bros.,1,2454K,Nintendo,E,431,8.5,2006
41,5.8,Nintendo,8832K,Misc,28920000,2667K,13128K,Wii Play,1,2454K,Nintendo,E,129,6.6,2006
80,8.7,Nintendo,6624K,Platform,28320000,4445K,13128K,New Super Mario Bros. Wii,1,1963K,Nintendo,E,594,8.4,2009
0,0,Nintendo,0K,Shooter,28310000,0K,26256K,Duck Hunt,1,0K,Nintendo,E,0,0,1984
0,0,Nintendo,9937K,Simulation,24670000,1778K,8752K,Nintendogs,1,2454K,Nintendo,E,0,0,2005
64,9.1,Nintendo,6624K,Racing,23210000,4000K,8752K,Mario Kart DS,1,1472K,Nintendo,E,464,8.6,2005
0,0,Nintendo,5520K,Role-Playing,23100000,7111K,8752K,Pokemon Gold/Pokemon Silver,1,491K,Nintendo,E,0,0,1999
63,8,Nintendo,7728K,Sports,22700000,3556K,8752K,Wii Fit,1,1963K,Nintendo,E,146,7.7,2007
45,6.1,Good Science Studio,4416K,Misc,21810000,0K,14587K,Kinect Adventures!,1,1472K,Microsoft Game Studios,E,106,6.3,2010
33,8,Nintendo,7728K,Sports,21790000,2222K,8752K,Wii Fit Plus,1,1472K,Nintendo,E,52,7.4,2009
245,9.68,Rockstar North,23185K,Action,56570000,1333K,23339K,Grand Theft Auto V,1,7853K,Take-Two Interactive,M,15124,8.08,2013
185,9.366666667,Rockstar North,1104K,Action,23840000,0K,10211K,Grand Theft Auto: San Andreas,1,10307K,Take-Two Interactive,M,3593,8.5,2004
0,0,Nintendo,4416K,Platform,26070000,4445K,14587K,Super Mario World,1,491K,Nintendo,E,0,0,1990
58,7.7,Nintendo,8832K,Misc,20150000,4000K,4376K,Brain Age: Train Your Brain in Minutes a Day,1,1963K,Nintendo,E,50,7.9,2005
0,0,Nintendo,4416K,Role-Playing,18250000,5778K,5835K,Pokemon Diamond/Pokemon Pearl,1,982K,Nintendo,E,0,0,2006
0,0,Nintendo,2208K,Platform,18140000,4000K,10211K,Super Mario Land,1,0K,Nintendo,E,0,0,1989
0,0,Nintendo,4416K,Platform,22480000,4445K,11669K,Super Mario Bros. 3,1,491K,Nintendo,E,0,0,1988
92,9.45,Rockstar North,4416K,Action,16190000,444K,7293K,Grand Theft Auto: Vice City,1,1472K,Take-Two Interactive,M,2250,8.75,2002
0,0,Nintendo,3312K,Role-Playing,15850000,5334K,5835K,Pokemon Ruby/Pokemon Sapphire,1,491K,Nintendo,E,0,0,2002
37,7.7,Nintendo,4416K,Puzzle,15290000,4889K,2917K,Brain Age 2: More Training in Minutes a Day,1,982K,Nintendo,E,19,7.1,2005
0,0,Nintendo,2208K,Role-Playing,15140000,5334K,4376K,Pokemon Black/Pokemon White,1,491K,Nintendo,E,0,0,2010
54,9.5,Polyphony Digital,4416K,Racing,14980000,1778K,5835K,Gran Turismo 3: A-Spec,1,982K,Sony Computer Entertainment,E,314,8.4,2001
162,8.1,"Infinity Ward, Sledgehammer Games",11041K,Shooter,30590000,444K,14587K,Call of Duty: Modern Warfare 3,1,2945K,Activision,M,20053,2.725,2011
0,0,Nintendo,4416K,Role-Playing,14640000,3111K,5835K,Pokémon Yellow: Special Pikachu Edition,1,491K,Nintendo,E,0,0,1998
0,0,Activision,8832K,Shooter,25680000,0K,11669K,Call of Duty: Black Ops 3,1,3436K,Activision,T,0,0,2015
214,8.2,Treyarch,8832K,Shooter,30820000,444K,17504K,Call of Duty: Black Ops,1,2945K,Activision,M,4340,5.94,2010
0,0,Nintendo,3312K,Role-Playing,14600000,4000K,4376K,Pokemon X/Pokemon Y,1,491K,Nintendo,E,0,0,2013
136,8.025,Treyarch,9937K,Shooter,29400000,444K,13128K,Call of Duty: Black Ops II,1,3436K,Activision,M,5041,5.3,2012
207,9.133333333,Infinity Ward,7728K,Shooter,24950000,444K,13128K,Call of Duty: Modern Warfare 2,1,2945K,Activision,M,11201,5.6,2009
76,9.5,DMA Design,4416K,Action,13110000,0K,5835K,Grand Theft Auto III,1,982K,Take-Two Interactive,M,1469,8.45,2001
81,9.3,Game Arts,2208K,Fighting,12840000,2222K,5835K,Super Smash Bros. Brawl,1,982K,Nintendo,T,1662,8.9,2008
73,8.5,"Retro Studios, Entertainment Analysis & Development Division",3312K,Racing,12660000,2667K,4376K,Mario Kart 7,1,491K,Nintendo,E,632,8.2,2011
57,8.6,Nintendo,3312K,Simulation,12130000,4889K,1459K,Animal Crossing: Wild World,1,491K,Nintendo,E,242,8.7,2005
86,9.4,"Bungie Software, Bungie",2208K,Shooter,12120000,0K,7293K,Halo 3,1,982K,Microsoft Game Studios,M,4100,7.8,2007
0,0,Nintendo,5520K,Platform,22190000,3111K,11669K,Super Mario 64,1,982K,Nintendo,E,0,0,1996
0,0,Nintendo,2208K,Action,11770000,3556K,2917K,Pokemon HeartGold/Pokemon SoulSilver,1,491K,Nintendo,E,0,0,2009
